ENM,Result
GNP001,-0.66
GNP002,-0.37
GNP003,-0.32
GNP004,0.03
GNP005,1.07
GNP006,2.09
GNP007,-1.36
GNP008,-0.86
GNP009,-1.19
GNP010,-0.62
GNP011,1.69
GNP012,2.24
GNP013,0.71
GNP014,1.12
GNP015,0.26
GNP016,0.48
GNP017,0.48
GNP018,1.28
GNP019,0.79
GNP020,-0.65
GNP021,0.56
GNP022,0.28
GNP023,0.61
GNP024,0.36
GNP025,1.28
GNP026,1.1
GNP027,1.15
GNP028,-0.78
GNP029,-0.5
GNP030,0.2
GNP031,-1.12
GNP032,-1.97
GNP033,-0.67
GNP034,-0.54
GNP035,-1.53
GNP036,-2.08
GNP037,-1.21
GNP038,-1.09
GNP039,-2.55
GNP040,-1.78
GNP059,1.39
GNP060,1.22
GNP061,1.2
GNP062,1.84
GNP063,0.99
GNP064,1.99
GNP065,1.72
GNP067,-0.44
GNP068,0.54
GNP069,1.21
GNP070,1.16
GNP071,-0.29
GNP072,2.0
GNP073,1.78
GNP075,1.3
GNP076,1.95
GNP077,0.26
GNP078,0.75
GNP079,0.56
GNP080,2.05
GNP081,2.06
GNP083,2.23
GNP084,2.15
GNP085,2.72
GNP086,0.46
GNP087,1.2
GNP088,2.36
GNP089,0.95
GNP091,1.53
GNP092,2.27
GNP093,2.45
GNP094,2.31
GNP095,2.34
GNP096,1.99
GNP097,1.64
GNP099,1.65
GNP100,2.28
GNP101,1.71
GNP102,2.27
GNP103,1.89
GNP104,2.27
GNP105,2.06
GNP123,-2.67
GNP124,-2.47
GNP125,-1.61
GNP126,-0.88
GNP127,-0.66
GNP128,-0.02
GNP129,2.4
GNP130,-2.56
GNP131,-2.52
GNP132,-2.68
GNP133,-2.35
GNP134,-1.74
GNP135,-2.59
GNP136,-2.4
GNP137,-2.3
GNP138,-2.21
GNP139,-1.72
GNP140,-2.08
GNP141,-2.19
GNP142,-1.92
GNP143,-1.8
GNP144,-0.96
GNP145,-2.42
GNP146,-2.28
GNP147,2.06
GNP148,2.38
GNP149,2.72
GNP150,2.67
GNP151,2.7
GNP152,2.52
GNP153,2.28
GNP154,2.57
GNP155,1.76
GNP156,1.98
GNP157,-2.54
GNP158,-2.13
GNP159,-2.29
GNP160,-2.3
GNP161,2.39
GNP162,2.3
GNP163,0.55
PtNP001,-1.25
PtNP002,-1.29
PtNP003,-0.96
PtNP004,-0.46
PtNP005,0.48
PtNP006,0.87
PtNP007,-1.59
PtNP008,-1.47
PtNP009,-1.27
PtNP010,-1.16
PtNP011,0.96
PtNP012,1.15
PdNP001,-0.36
PdNP002,-0.18
PdNP003,0.17
PdNP004,0.48
PdNP005,1.67
PdNP006,2.18
PdNP007,-0.94
PdNP008,-0.86
PdNP009,-0.61
PdNP010,0.47
PdNP011,2.31
PdNP012,2.52
